ID,Image,Best_MST_Orb,Lowest_RMSE
80,DSC_0703.JPG,9,0.12785053149034062
195,DSC_1745.JPG,10,0.11240582871743789
195,DSC_4109.JPG,1,0.17685665650413201
104,DSC_1934.JPG,1,0.24414403644029845
104,DSC_0909.JPG,5,0.1561674279038876
202,DSC_1809.JPG,9,0.11926869319225199
202,DSC_4309.JPG,1,0.260555538338691
86,DSC_0754.JPG,5,0.18038784883281633
86,DSC_1754.JPG,10,0.04806572578186091
52,DSC_0457.JPG,9,0.1088036214982908
52,DSC_0893.JPG,5,0.09043325555489132
68,DSC_0603.JPG,10,0.015748986134770108
68,DSC_1431.JPG,10,0.03058457019735688
173,DSC_1537.JPG,5,0.15933527913723222
141,DSC_2736.JPG,5,0.11432996248224268
141,DSC_1246.JPG,10,0.10114329382831899
170,DSC_3409.JPG,1,0.17799709690840804
170,DSC_1510.JPG,10,0.03704181990339163
67,DSC_1341.JPG,1,0.23960629864734928
67,DSC_0593.JPG,5,0.1471729093429617
1,DSC_0033.JPG,10,0.038274534322399814
24,DSC_0195.JPG,10,0.037630487585289946
92,DSC_0808.JPG,9,0.13886306396577572
92,DSC_1665.JPG,1,0.21999605334657812
61,DSC_0538.JPG,10,0.06576302682717092
7,DSC_0059.JPG,10,0.08997162098283429
94,DSC_0825.JPG,5,0.173532151442257
94,DSC_1691.JPG,5,0.11176100470480567
128,DSC_1128.JPG,10,0.01642504791139796
128,DSC_2280.JPG,9,0.06796073935694283
27,DSC_0222.JPG,4,0.16953399526190804
44,DSC_0684.JPG,1,0.16821482548751232
44,DSC_0384.JPG,10,0.0747241014975919
191,DSC_3907.JPG,4,0.15200303737669327
191,DSC_1707.JPG,9,0.10750439065154635
193,DSC_4093.JPG,1,0.2227064734946678
193,DSC_1726.JPG,10,0.08846118860746766
56,DSC_0493.JPG,9,0.11952952439719236
56,DSC_0926.JPG,9,0.06349904172008429
30,DSC_0250.JPG,10,0.06755457231314384
99,DSC_0867.JPG,10,0.08592627166588253
99,DSC_1796.JPG,1,0.2092957835205017
184,DSC_3851.JPG,1,0.1877837802157325
184,DSC_1639.JPG,9,0.1282744566441895
64,DSC_0565.JPG,9,0.13932900683515043
119,DSC_1045.JPG,4,0.19667862463459812
119,DSC_2142.JPG,1,0.19686563089096656
153,DSC_2967.JPG,4,0.1344040973892418
153,DSC_1353.JPG,9,0.13036159376627252
161,DSC_3175.JPG,9,0.044543364502413085
161,DSC_1425.JPG,10,0.014076346119487717
10,DSC_0077.JPG,9,0.13224173809884565
166,DSC_1476.JPG,10,0.10085475640082678
166,DSC_3215.JPG,1,0.2163730485281042
166,DSC_1473.JPG,9,0.15289573500355777
200,DSC_4293.JPG,1,0.25600990759271147
200,DSC_1791.JPG,9,0.14298431804809736
47,DSC_0708.JPG,1,0.17346323969296348
97,DSC_0850.JPG,10,0.06439999410740524
97,DSC_1756.JPG,4,0.1539191380673855
155,DSC_1371.JPG,5,0.1910112940379084
155,DSC_2984.JPG,1,0.15401448203576004
192,DSC_1717.JPG,10,0.014671156455023697
192,DSC_4189.JPG,10,0.02703505740817961
189,DSC_3891.JPG,1,0.2223415784652282
189,DSC_1688.JPG,9,0.11725540645337823
58,DSC_0511.JPG,9,0.12993263125007296
124,DSC_2248.JPG,4,0.15765233298249157
124,DSC_1091.JPG,10,0.102768455938616
183,DSC_1630.JPG,10,0.08951351028252787
79,DSC_1857.JPG,10,0.021797125577618346
79,DSC_0695.JPG,10,0.016244321060718946
75,DSC_1525.JPG,9,0.1026215018076287
75,DSC_0663.JPG,9,0.1106361060835491
142,DSC_2744.JPG,1,0.20534017250563008
142,DSC_1254.JPG,10,0.08314235392209052
129,DSC_1137.JPG,10,0.020971323365060798
129,DSC_2288.JPG,10,0.04271403497722208
63,DSC_0556.JPG,10,0.0136892286316549
157,DSC_3000.JPG,1,0.13620171318819116
157,DSC_1389.JPG,5,0.18616069435377136
165,DSC_1464.JPG,9,0.12555752811968332
165,DSC_3207.JPG,1,0.1767182154896796
175,DSC_1556.JPG,9,0.14134250687617436
130,DSC_2296.JPG,4,0.16110633911139147
130,DSC_1146.JPG,10,0.07828975571317699
55,DSC_0918.JPG,1,0.14605891015927233
55,DSC_0484.JPG,10,0.07914608935937127
126,DSC_1109.JPG,10,0.06454244068324717
126,DSC_2264.JPG,10,0.04726056942221514
12,DSC_0094.JPG,10,0.06237879226023806
32,DSC_0268.JPG,10,0.09142390295882959
149,DSC_1317.JPG,9,0.13198406735460347
149,DSC_2804.JPG,1,0.22807880101790098
54,DSC_0475.JPG,10,0.09429160605825253
54,DSC_0910.JPG,1,0.17523839675712005
20,DSC_0160.JPG,5,0.1567412310083478
112,DSC_0979.JPG,5,0.1640452416858011
174,DSC_1546.JPG,9,0.1108393380780113
41,DSC_0754.JPG,5,0.09559960185713912
41,DSC_0357.JPG,10,0.013649290749615172
180,DSC_1603.JPG,10,0.09821251271706942
51,DSC_0448.JPG,9,0.1071261265521768
51,DSC_0740.JPG,1,0.1857025147358247
181,DSC_1612.JPG,9,0.1258163559454864
198,DSC_1772.JPG,10,0.07384637155354186
198,DSC_4133.JPG,1,0.20222330402711466
57,DSC_0502.JPG,9,0.1310177360394558
106,DSC_0926.JPG,10,0.07137574503079716
209,DSC_1872.JPG,10,0.07705727056412384
209,DSC_4489.JPG,4,0.17919128052717725
121,DSC_1063.JPG,5,0.15989299366707665
121,DSC_2158.JPG,1,0.18546005220904255
148,DSC_2796.JPG,1,0.13817094587605755
148,DSC_1308.JPG,5,0.15792874137068943
169,DSC_3393.JPG,9,0.0797785008498429
133,DSC_1175.JPG,10,0.10786970049424514
