ID,Ground_Truth_Avg,Error_File1,Error_File2,Range_Lab_vs_RGB
1,8,2,3,5
2,6,1,0,1
3,8,0,0,0
4,4,3,2,5
5,6,1,0,1
6,1,0,0,0
7,6,0,0,0
8,6,1,0,1
9,6,1,0,1
10,6,1,0,1
11,4,3,2,5
12,6,2,2,4
13,3,2,2,4
14,6,1,2,3
15,6,1,1,2
16,2,1,1,2
17,2,1,1,2
18,2,1,0,1
19,7,1,1,2
20,2,1,2,3
21,6,2,1,3
22,6,1,1,2
23,2,2,1,3
24,6,1,2,3
25,4,2,1,3
26,2,1,1,2
27,2,1,2,3
28,2,1,2,3
29,6,1,2,3
30,2,1,2,3
31,2,1,2,3
32,2,1,1,2
33,6,1,0,1
34,2,1,1,2
35,2,1,2,3
36,6,1,0,1
37,2,1,1,2
38,3,2,2,4
39,2,1,1,2
40,4,3,2,5
41,4,4,3,7
42,6,1,0,1
43,4,3,3,6
44,3,2,2,4
45,4,3,2,5
46,2,0,1,1
47,2,1,1,2
48,2,1,1,2
49,2,1,1,2
50,2,1,2,3
51,2,1,2,3
52,2,1,1,2
53,2,1,2,3
54,2,1,1,2
55,1,0,0,0
56,2,1,1,2
57,3,2,2,4
58,2,1,1,2
59,5,2,2,4
60,3,2,2,4
61,2,1,2,3
62,2,1,0,1
63,8,0,0,0
64,4,3,2,5
65,2,1,2,3
66,1,0,0,0
67,2,1,1,2
68,6,1,0,1
69,6,1,1,2
70,2,1,1,2
71,2,1,2,3
72,2,1,2,3
73,2,1,2,3
74,2,1,1,2
75,2,1,0,1
76,2,1,1,2
77,2,1,0,1
78,3,2,2,4
79,8,0,0,0
80,2,1,2,3
81,6,1,2,3
82,2,1,1,2
83,6,1,0,1
84,2,1,1,2
85,2,1,1,2
86,2,1,1,2
87,2,1,1,2
88,4,3,2,5
89,6,1,0,1
90,7,0,0,0
91,4,3,3,6
92,2,1,2,3
93,2,1,0,1
94,2,1,1,2
95,6,1,0,1
96,4,2,2,4
97,6,1,2,3
98,2,1,1,2
99,2,1,2,3
100,2,1,1,2
101,2,1,2,3
102,5,2,2,4
103,2,1,0,1
104,2,1,0,1
105,6,1,2,3
106,4,3,2,5
107,2,1,2,3
108,2,1,2,3
109,2,1,0,1
110,2,0,1,1
111,3,2,2,4
112,2,1,0,1
113,3,1,1,2
114,2,1,0,1
115,2,1,2,3
116,6,1,0,1
117,2,1,1,2
118,4,0,0,0
119,2,1,2,3
120,5,2,2,4
121,2,1,0,1
122,2,1,2,3
123,6,1,0,1
124,2,1,1,2
125,6,1,0,1
126,2,1,2,3
127,6,1,2,3
128,7,1,1,2
129,6,1,0,1
130,6,1,1,2
131,6,1,2,3
132,5,2,2,4
133,2,1,2,3
134,2,1,1,2
135,2,1,1,2
136,3,2,2,4
137,2,1,2,3
138,2,1,1,2
139,2,0,1,1
140,8,0,0,0
141,2,1,1,2
142,2,1,1,2
143,6,2,1,3
144,6,1,0,1
145,2,1,1,2
146,2,1,1,2
147,6,1,0,1
148,2,1,2,3
149,2,1,1,2
150,2,1,1,2
151,2,1,1,2
152,2,1,1,2
153,3,2,2,4
154,2,1,1,2
155,2,1,1,2
156,2,1,1,2
157,2,1,1,2
158,2,1,0,1
159,2,1,1,2
160,5,2,2,4
161,7,1,1,2
162,6,1,2,3
163,6,1,0,1
164,2,1,1,2
165,2,1,1,2
166,5,2,2,4
167,8,0,0,0
168,2,0,1,1
169,2,1,2,3
170,6,1,2,3
171,2,1,2,3
172,2,1,0,1
173,2,1,0,1
174,2,1,2,3
175,4,3,2,5
176,2,1,1,2
177,2,1,1,2
178,6,1,0,1
179,2,1,0,1
180,6,1,0,1
181,2,1,0,1
182,2,1,2,3
183,2,1,2,3
184,6,1,1,2
185,3,2,2,4
186,2,1,1,2
187,3,2,2,4
188,2,1,2,3
189,2,1,1,2
190,3,2,2,4
191,2,1,1,2
192,8,0,0,0
193,2,1,1,2
194,2,0,0,0
195,4,3,2,5
196,2,1,1,2
197,6,1,1,2
198,2,1,1,2
199,3,2,2,4
200,2,1,1,2
201,2,0,1,1
202,2,1,0,1
203,8,0,0,0
204,2,1,1,2
205,2,1,1,2
206,2,1,0,1
207,6,1,0,1
208,2,1,1,2
209,3,1,1,2
