,RandomForestClassifier_train,RandomForestClassifier_test,LogisticRegression_train,LogisticRegression_test,SVC_train,SVC_test,file_name,directory,MLPClassifier_train,MLPClassifier_test,Sequential_train,Sequential_test
0,0.6811,0.2812,0.5079,0.4531,0.5118,0.5469,CHROMA_FIT_CSEC_data_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.1,,,,
1,0.6811,0.5781,0.5039,0.5625,0.5157,0.5625,CHROMA_FIT_data_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.1,,,,
2,0.6585,0.1466,0.5226,0.1906,0.5296,0.2141,CHROMA_FIT_exposure_color_correction_data_MST.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.1,,,,
3,0.689,0.5,0.5354,0.5469,0.5079,0.4531,CHROMA_FIT_CSEC_data.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.1,,,,
4,0.6419,0.569,0.4978,0.569,0.4934,0.5345,CHROMA_FIT_exposure_color_correction_data.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.1,,,,
5,0.6811,0.4531,0.5315,0.4375,0.5354,0.4844,CHROMA_FIT_data.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.1,,,,
6,0.6258,0.1818,0.5346,0.1848,0.5283,0.1994,CHROMA_FIT_data_MST.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.1,,,,
7,0.7031,0.5156,0.5022,0.2344,0.524,0.4219,CHROMA_FIT_exposure_color_correction_data_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.1,,,,
8,0.6447,0.129,0.5314,0.1818,0.5094,0.2111,CHROMA_FIT_CSEC_data_MST.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.1,,,,
9,0.7557,0.1094,0.6244,0.0781,0.7429,0.0938,CHROMA_FIT_CSEC_data_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.2,,,,
10,0.6915,0.25,0.5822,0.2969,0.5675,0.2344,CHROMA_FIT_data_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.2,,,,
11,0.7443,0.1026,0.5041,0.1349,0.616,0.1056,CHROMA_FIT_exposure_color_correction_data_MST.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.2,,,,
12,0.7437,0.1562,0.6133,0.2656,0.7629,0.25,CHROMA_FIT_CSEC_data.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.2,,,,
13,0.7476,0.1724,0.48,0.2414,0.6472,0.2931,CHROMA_FIT_exposure_color_correction_data.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.2,,,,
14,0.7944,0.2656,0.5862,0.2812,0.5792,0.1875,CHROMA_FIT_data.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.2,,,,
15,0.6859,0.0704,0.5499,0.1496,0.5563,0.0968,CHROMA_FIT_data_MST.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.2,,,,
16,0.6321,0.0156,0.5524,0.1406,0.63,0.125,CHROMA_FIT_exposure_color_correction_data_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.2,,,,
17,0.7443,0.1261,0.6083,0.1261,0.7365,0.1232,CHROMA_FIT_CSEC_data_MST.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.2,,,,
18,0.6811,0.2812,0.5079,0.4531,0.5118,0.5469,CHROMA_FIT_CSEC_data_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.3,0.6457,0.2656,,
19,0.6811,0.5781,0.5039,0.5625,0.5157,0.5625,CHROMA_FIT_data_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.3,0.6535,0.4375,0.0039,0.0156
20,0.6585,0.1466,0.5226,0.1906,0.5296,0.2141,CHROMA_FIT_exposure_color_correction_data_MST.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.3,0.6341,0.1378,,
21,0.689,0.5,0.5354,0.5469,0.5079,0.4531,CHROMA_FIT_CSEC_data.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.3,0.6457,0.5625,0.0079,0.0
22,0.6419,0.569,0.4978,0.569,0.4934,0.5345,CHROMA_FIT_exposure_color_correction_data.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.3,0.6114,0.5517,0.0087,0.0
23,0.6811,0.4531,0.5315,0.4375,0.5354,0.4844,CHROMA_FIT_data.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.3,0.6142,0.5,0.0079,0.0
24,0.6258,0.1818,0.5346,0.1848,0.5283,0.1994,CHROMA_FIT_data_MST.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.3,0.6101,0.1466,,
25,0.7031,0.5156,0.5022,0.2344,0.524,0.4219,CHROMA_FIT_exposure_color_correction_data_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.3,0.6419,0.1875,,
26,0.6447,0.129,0.5314,0.1818,0.5094,0.2111,CHROMA_FIT_CSEC_data_MST.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.3,0.6509,0.1584,,
27,0.6811,0.3281,0.5079,0.4531,0.5157,0.5469,CHROMA_FIT_CSEC_data_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.4,0.7008,0.3594,,
28,0.6447,0.1818,0.5346,0.1818,0.5126,0.2082,CHROMA_FIT_CSEC_data_MST_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.4,0.7044,0.1437,,
29,0.6654,0.5312,0.5,0.5312,0.5157,0.5625,CHROMA_FIT_data_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.4,0.6811,0.3906,,
30,0.6272,0.1951,0.5296,0.2043,0.5192,0.2073,CHROMA_FIT_exposure_color_correction_data_MST.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.4,0.6829,0.1951,,
31,0.7008,0.5,0.5433,0.5312,0.5079,0.4531,CHROMA_FIT_CSEC_data.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.4,0.7126,0.5,,
32,0.6635,0.176,0.5409,0.2082,0.5252,0.1877,CHROMA_FIT_data_MST_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.4,0.6509,0.1584,,
33,0.6332,0.5862,0.5066,0.569,0.4891,0.5517,CHROMA_FIT_exposure_color_correction_data.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.4,0.6332,0.5517,,
34,0.7087,0.4688,0.5276,0.4062,0.5433,0.4688,CHROMA_FIT_data.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.4,0.6693,0.4688,,
35,0.6635,0.176,0.5409,0.2082,0.5252,0.1877,CHROMA_FIT_data_MST.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.4,0.6509,0.1584,,
36,0.6272,0.1848,0.5296,0.173,0.5192,0.2082,CHROMA_FIT_exposure_color_correction_data_MST_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.4,0.6829,0.1877,,
37,0.7162,0.3438,0.5066,0.25,0.524,0.4375,CHROMA_FIT_exposure_color_correction_data_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.4,0.655,0.25,,
38,0.6447,0.1965,0.5346,0.1818,0.5126,0.2082,CHROMA_FIT_CSEC_data_MST.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.4,0.7044,0.1848,,
39,0.5354,0.1406,0.4055,0.1094,0.5039,0.0938,CHROMA_FIT_CSEC_data_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v1.5,0.7008,0.3594,,
