,MultiOutputRegressor_train,MultiOutputRegressor_test,MLPRegressor_train,MLPRegressor_test,MultiOutputRegressor1_train,MultiOutputRegressor1_test,MultiOutputRegressor2_train,MultiOutputRegressor2_test,file_name,directory,GridSearchCV_train,GridSearchCV_test,GridSearchCV1_train,GridSearchCV1_test
0,0.0669,0.0625,0.0866,0.0938,0.3976,0.5,0.2205,0.125,CHROMA_FIT_CSEC_data_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v2.0,,,,
1,0.066,0.088,0.1289,0.129,0.3302,0.2141,0.2484,0.1408,CHROMA_FIT_CSEC_data_MST_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v2.0,,,,
2,0.0669,0.1562,0.0748,0.1406,0.3583,0.3906,0.2717,0.1406,CHROMA_FIT_data_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v2.0,,,,
3,0.0627,0.1128,0.0871,0.0854,0.2787,0.1799,0.2857,0.1433,CHROMA_FIT_exposure_color_correction_data_MST.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v2.0,,,,
4,0.063,0.1094,0.1142,0.1719,0.252,0.25,0.2362,0.0781,CHROMA_FIT_CSEC_data.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v2.0,,,,
5,0.066,0.0821,0.0849,0.1408,0.3428,0.1613,0.2736,0.1056,CHROMA_FIT_data_MST_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v2.0,,,,
6,0.0742,0.1034,0.0917,0.0517,0.4192,0.5172,0.2271,0.1724,CHROMA_FIT_exposure_color_correction_data.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v2.0,,,,
7,0.063,0.1875,0.0984,0.0938,0.3031,0.3281,0.2795,0.1875,CHROMA_FIT_data.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v2.0,,,,
8,0.066,0.0821,0.0849,0.1408,0.3428,0.1613,0.2736,0.1056,CHROMA_FIT_data_MST.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v2.0,,,,
9,0.0627,0.0938,0.0871,0.1173,0.2787,0.1994,0.2857,0.1173,CHROMA_FIT_exposure_color_correction_data_MST_original.txt,/home/dasec-notebook/Thesis/skin_tone_estimation/multiclass_classification/results/results_v2.0,,,,
